Time,Pressure (Pa),Signal
98,962.7768489655718,1
99,1066.8511250327047,0
100,1090.452305841479,0
101,826.6907089110083,1
102,1118.5667548995891,0
103,934.3379798989915,1
104,827.9176173678047,1
105,856.2483879842082,1
106,1140.1909804663844,0
107,995.9926667363741,1
108,1065.2905396441397,0
109,988.1191173468161,1
110,923.6479914259434,1
111,821.8698367854904,1
112,1187.4575854031386,0
113,814.5953039514285,1
114,890.3752018277376,1
115,984.2653780378298,1
116,1082.9053744716514,0
117,849.3268425615406,1
118,900.8821715798463,1
119,1053.5802817206927,0
120,932.4050283345579,1
121,1121.8664691943936,0
122,874.1023596358273,1
123,1054.2843610847262,0
124,1007.6495118541116,0
125,914.1855238249701,1
126,883.8734081094615,1
127,1169.7994853683197,0
128,1177.9668121124012,0
129,956.6271086020689,1
130,1093.4511968407112,0
131,1030.525927234581,0
132,826.5312323686891,1
133,1120.1539678718411,0
134,871.0155713909198,1
135,866.4461341706556,1
136,836.6199066715168,1
137,1197.6437940535443,0
138,870.0588261892789,1
139,1178.5639592524662,0
140,992.2694960935102,1
141,871.1149829807632,1
142,819.8197676483951,1
143,1125.8046048038195,0
144,1116.595566386264,0
145,902.10378784145,1
146,1039.7116522173335,0
147,1096.5938333925271,0
148,885.4262073111557,1
149,893.6098894646555,1
150,1034.0854635167234,0
151,1068.627157346039,0
152,964.497260090734,1
153,1128.8338788659962,0
154,884.0327481486922,1
155,968.4898188941172,1
156,865.2794208013986,1
157,857.9495754059525,1
158,806.2593991061867,1
159,812.5883342869554,1
160,976.9002624448857,1
161,850.0755722306137,1
162,1140.499843579713,0
163,1067.6908752461086,0
164,977.8464989054274,1
165,1121.243449381939,0
166,964.406343878893,1
167,1160.2711612186772,0
168,836.4085486740809,1
169,945.6228368054763,1
170,961.4699534094308,1
171,1102.20698061662,0
172,885.587081126614,1
173,921.3982444431493,1
174,1035.9333664796093,0
175,945.9332804443476,1
176,1050.3284278248605,0
177,959.4818336661275,1
178,1158.955687881144,0
179,903.4590906050541,1
180,975.285596299721,1
181,1199.6087268166798,0
182,1022.6005640587597,0
183,980.1345705510594,1
184,996.7802467500991,1
185,938.5106611825292,1
186,981.2491731630928,1
187,967.5064954917905,1
188,1032.3662680667487,0
189,946.2576753501453,1
190,1129.226581595364,0
191,802.6618738118717,1
192,1188.7144468802219,0
193,1162.8877898263925,0
194,1053.4475046838418,0
195,959.1086054323442,1
196,1015.4381558434244,0
197,887.5390849586306,1
198,804.5173289918276,1
199,1021.421191746581,0
200,939.9836730225027,1
201,1130.7641804064037,0
202,895.7368524983426,1
203,1186.5790623110076,0
204,976.1056446455586,1
205,1157.8473980506506,0
206,1079.8679592719527,0
207,923.7105253685396,1
208,999.8480410507625,1
209,1081.1633816755611,0
210,912.4927343414262,1
211,1153.5611218718948,0
212,1048.8898237252388,0
213,1012.7413004008497,0
214,841.677499848635,1
215,895.8976312792881,1
216,908.3629777760316,1
217,1140.6442741357891,0
218,1078.3344809651992,0
219,1008.558520157032,0
220,1171.6704073291548,0
221,820.1356585696076,1
222,952.0204602982012,1
223,1154.317563572049,0
224,1158.1413996664091,0
225,958.9103097962497,1
226,840.4621260568757,1
227,1177.3571897370102,0
228,1081.902419339628,0
229,847.4060627000146,1
230,818.8316934631958,1
231,1027.1060387047685,0
232,1133.9927410555185,0
233,803.3820391895142,1
234,923.2540543622107,1
235,984.4483927899819,1
236,878.0908696603469,1
237,1180.9276563887636,0
238,1029.1201280907615,0
239,950.1592762572075,1
240,943.3461170745793,1
241,948.1984529148763,1
242,802.5841055838656,1
243,1111.5967403907725,0
244,859.8296445238229,1
245,1126.602100840651,0
246,912.2830204614365,1
247,1176.1798926668635,0
248,813.1956193881458,1
249,1090.8825776442015,0
250,1013.4628293509468,0
251,1071.999410753287,0
252,916.9468961027877,1
253,1124.3950048543438,0
254,1157.4222513224065,0
255,872.3642259164773,1
256,1017.1710250388901,0
257,1034.250424187438,0
258,908.4335280549487,1
259,1184.14375651288,0
260,837.6406046972305,1
261,1190.8496350928112,0
262,1092.5249117507728,0
263,1145.4114599110385,0
264,1069.350133873231,0
265,1058.0266258163194,0
266,1123.6198025963656,0
267,1190.6073531776874,0
268,1118.1249371528518,0
269,995.3470886491929,1
270,1096.1127082259825,0
271,858.676757378429,1
272,847.4426827271429,1
273,807.7075342113291,1
274,907.7021502657709,1
275,1188.8128805478418,0
276,805.906900455332,1
277,920.8126943635618,1
278,815.7705341452787,1
279,934.0698846032064,1
280,1050.4196669659686,0
281,936.984386964569,1
282,1061.902702032078,0
283,1177.4319946368764,0
284,1060.1070417080032,0
285,1142.7959491660704,0
286,961.6075228089072,1
287,832.7677643050004,1
288,1176.6105470470884,0
289,1187.4214595385602,0
290,970.3974307445471,1
291,918.8370463489114,1
292,1051.144531929121,0
293,952.1068551227543,1
294,1073.2507231062755,0
295,864.0841235072627,1
296,832.435678693874,1
297,1026.5235940365997,0
298,972.6976639038076,1
299,858.8925910388762,1
300,843.6487711336131,1
301,897.6260214477611,1
302,1104.1156722512264,0
303,843.554050394916,1
304,820.099444380801,1
305,911.575036044559,1
306,813.6128097532646,1
307,1107.9685506665446,0
308,996.5661027909816,1
309,816.342109909421,1
310,1148.5525934804919,0
311,1015.0821565757268,0
312,897.9015669127984,1
313,1052.4643532032037,0
314,1062.1593980265452,0
315,1193.7230179210044,0
316,1021.773413270829,0
317,1173.737525261724,0
318,1142.852265442658,0
319,1014.3125668549451,0
320,933.8786273206654,1
321,882.8121062609696,1
322,1157.3871008715737,0
323,1045.7583932578896,0
324,813.643181383119,1
325,1156.069353182415,0
326,1059.3147909110023,0
327,945.2103517915164,1
328,992.3036093873654,1
329,868.3167106147135,1
330,802.3217323855379,1
331,1165.776823034889,0
332,982.118778813707,1
333,817.3006625383595,1
334,1138.578704053824,0
335,1160.5772224871816,0
336,1128.3260002934762,0
337,992.5713040755436,1
338,978.3271750919388,1
339,1047.866687374,0
340,900.7834106849999,1
341,933.0910451321175,1
342,1124.0812398417243,0
343,987.7327237118357,1
344,1113.1939959925235,0
345,926.097849625289,1
346,852.2218470611041,1
347,1058.750422317861,0
348,1073.6807989017673,0
349,1151.9320874819373,0
350,1044.7294725988272,0
351,1144.318754460557,0
352,982.848550513569,1
353,1125.7430085066421,0
354,963.4736211220591,1
355,965.5341966348872,1
356,800.991453696481,1
357,1099.7410836653187,0
358,1190.0479217115376,0
359,884.981504753335,1
360,808.5879121003165,1
361,971.5342441130391,1
362,1162.3741467658988,0
363,1024.900354595782,0
364,1108.49564360969,0
365,1093.1283666853915,0
366,1124.6661025738758,0
367,813.5346071157561,1
368,925.5820857953595,1
369,1089.1716161827185,0
370,955.2369300238812,1
371,847.8440675448162,1
372,876.673316652689,1
373,1089.9757469458998,0
374,858.1086524398822,1
375,952.8636437830054,1
376,830.1135606622464,1
377,983.4777561655125,1
378,1040.376358067604,0
379,1124.0295095188678,0
380,1045.4637566089334,0
381,1011.8857999473811,0
382,864.5995808120566,1
383,1025.3720160190583,0
384,952.749192565133,1
385,1106.0262958302199,0
386,1040.8709892062457,0
387,1056.1643865272686,0
388,1145.5826596548736,0
389,1026.7843570453592,0
390,929.5750048712629,1
391,815.3502034959006,1
392,862.7406235292077,1
393,882.4674097800912,1
394,1041.6104572926274,0
395,892.787188752423,1
396,1143.854891437673,0
397,1088.2632190861764,0
398,939.3334518179213,1
399,819.8111091121815,1
400,968.958112160054,1
401,1128.7578502205643,0
402,1086.2782999719843,0
403,1067.0606764721433,0
404,1110.7227850760214,0
405,865.3925786945465,1
406,1134.1602806328933,0
407,890.0433606977085,1
408,1011.1984157659042,0
409,893.1899046919298,1
410,1183.913958154392,0
411,1024.5723717434796,0
412,1004.0342212943511,0
413,971.8293603510413,1
414,844.673076720167,1
415,849.395703806239,1
416,936.345262848601,1
417,964.9430610627027,1
418,1178.5413605459084,0
419,961.518557541392,1
420,1013.2763699082411,0
421,1023.4233883541517,0
422,1116.921648617008,0
423,1091.3491432423266,0
424,1092.4837363836036,0
425,952.3991373586163,1
426,913.537370032022,1
427,1128.1104975190142,0
428,967.739170214219,1
429,829.578017588745,1
430,1166.282640981888,0
431,1051.0177263511473,0
432,1144.7650652172251,0
433,904.0945089111451,1
434,842.4395314462205,1
435,810.4717975564122,1
436,935.427690989198,1
437,1054.4816534896438,0
438,1197.556702952261,0
439,908.2032764594492,1
440,1047.7008282299962,0
441,966.8205962520359,1
442,919.5994134827405,1
443,967.9672914269806,1
444,811.7175300094331,1
445,1149.061046722533,0
446,1112.5529835667187,0
447,1130.49080764262,0
448,956.5000918113549,1
449,988.8071579692103,1
450,1107.6508834445347,0
451,1086.3022496325268,0
452,1044.0783617739057,0
453,988.9357764826935,1
454,867.6104190288258,1
455,1160.0701552336782,0
456,848.2478331008577,1
457,891.3351098990951,1
458,982.012856693014,1
459,1047.290321025658,0
460,994.9642051806089,1
461,865.7113852242368,1
462,876.2425547076319,1
463,1011.9023587713159,0
464,1098.289177266598,0
465,1162.050959219627,0
466,978.7632611520891,1
467,1104.4572962143116,0
468,1093.1531477277442,0
469,944.1174890538199,1
470,1028.8080557434137,0
471,935.3988037074444,1
472,1113.9077031087354,0
473,1046.9369033112948,0
474,930.2000367057349,1
475,1059.7535907075144,0
476,1171.515747432325,0
477,849.6636649369182,1
478,863.47929137644,1
479,1170.3330673104147,0
480,853.5476247266444,1
481,806.211342932173,1
482,824.643600366357,1
483,1023.5794549510476,0
484,1067.4775827646008,0
485,835.2767916585864,1
486,1049.7485586572288,0
487,1006.9767154357495,0
488,872.7459422532623,1
489,1161.9992205569445,0
490,1039.4095825792485,0
491,988.6125562492512,1
492,989.9239421396622,1
493,1005.5557060336085,0
494,1172.4803661900974,0
495,898.4465962426871,1
496,1123.3171709206522,0
497,1140.4764292143573,0
498,1129.2377135109236,0
499,962.0752426201778,1
